date,price
2025-02-19 01:43:24.358624,0.01
2025-02-20 01:43:24.358624,0.01
2025-02-21 01:43:24.358624,0.01
2025-02-22 01:43:24.358624,0.01
2025-02-23 01:43:24.358624,0.01
2025-02-24 01:43:24.358624,0.01
2025-02-25 01:43:24.358624,0.01
2025-02-26 01:43:24.358624,0.01
2025-02-27 01:43:24.358624,0.01
2025-02-28 01:43:24.358624,0.01
2025-03-01 01:43:24.358624,0.01
2025-03-02 01:43:24.358624,0.01
2025-03-03 01:43:24.358624,0.01
2025-03-04 01:43:24.358624,0.01
2025-03-05 01:43:24.358624,0.01
2025-03-06 01:43:24.358624,0.01
2025-03-07 01:43:24.358624,0.01
2025-03-08 01:43:24.358624,0.01
2025-03-09 01:43:24.358624,0.01
2025-03-10 01:43:24.358624,0.01
2025-03-11 01:43:24.358624,0.01
2025-03-12 01:43:24.358624,0.01
2025-03-13 01:43:24.358624,0.01
2025-03-14 01:43:24.358624,0.01
2025-03-15 01:43:24.358624,0.01
2025-03-16 01:43:24.358624,0.01
2025-03-17 01:43:24.358624,0.01
2025-03-18 01:43:24.358624,0.01
2025-03-19 01:43:24.358624,0.01
2025-03-20 01:43:24.358624,0.01
2025-03-21 01:43:24.358624,0.01
2025-03-22 01:43:24.358624,0.01
2025-03-23 01:43:24.358624,0.01
2025-03-24 01:43:24.358624,0.01
2025-03-25 01:43:24.358624,0.01
2025-03-26 01:43:24.358624,0.01
2025-03-27 01:43:24.358624,0.01
2025-03-28 01:43:24.358624,0.01
2025-03-29 01:43:24.358624,0.01
2025-03-30 01:43:24.358624,0.01
2025-03-31 01:43:24.358624,0.01
2025-04-01 01:43:24.358624,0.01
2025-04-02 01:43:24.358624,0.01
2025-04-03 01:43:24.358624,0.01
2025-04-04 01:43:24.358624,0.01
2025-04-05 01:43:24.358624,0.01
2025-04-06 01:43:24.358624,0.01
2025-04-07 01:43:24.358624,0.01
2025-04-08 01:43:24.358624,0.01
2025-04-09 01:43:24.358624,0.01
2025-04-10 01:43:24.358624,0.01
2025-04-11 01:43:24.358624,0.01
2025-04-12 01:43:24.358624,0.01
2025-04-13 01:43:24.358624,0.01
2025-04-14 01:43:24.358624,0.01
2025-04-15 01:43:24.358624,0.01
2025-04-16 01:43:24.358624,0.01
2025-04-17 01:43:24.358624,0.01
2025-04-18 01:43:24.358624,0.01
2025-04-19 01:43:24.358624,0.01
2025-04-20 01:43:24.358624,0.01
2025-04-21 01:43:24.358624,0.01
2025-04-22 01:43:24.358624,0.01
2025-04-23 01:43:24.358624,0.01
2025-04-24 01:43:24.358624,0.01
2025-04-25 01:43:24.358624,0.01
2025-04-26 01:43:24.358624,0.01
2025-04-27 01:43:24.358624,0.01
2025-04-28 01:43:24.358624,0.01
2025-04-29 01:43:24.358624,0.01
2025-04-30 01:43:24.358624,0.01
2025-05-01 01:43:24.358624,0.01
2025-05-02 01:43:24.358624,0.01
2025-05-03 01:43:24.358624,0.01
2025-05-04 01:43:24.358624,0.01
2025-05-05 01:43:24.358624,0.01
2025-05-06 01:43:24.358624,0.01
2025-05-07 01:43:24.358624,0.01
2025-05-08 01:43:24.358624,0.01
2025-05-09 01:43:24.358624,0.01
2025-05-10 01:43:24.358624,0.01
2025-05-11 01:43:24.358624,0.01
2025-05-12 01:43:24.358624,0.01
2025-05-13 01:43:24.358624,0.01
2025-05-14 01:43:24.358624,0.01
2025-05-15 01:43:24.358624,0.01
2025-05-16 01:43:24.358624,0.01
2025-05-17 01:43:24.358624,0.01
2025-05-18 01:43:24.358624,0.01
2025-05-19 01:43:24.358624,0.01
2025-05-20 01:43:24.358624,0.01
2025-05-21 01:43:24.358624,0.01
2025-05-22 01:43:24.358624,0.01
2025-05-23 01:43:24.358624,0.01
2025-05-24 01:43:24.358624,0.01
2025-05-25 01:43:24.358624,0.01
2025-05-26 01:43:24.358624,0.01
2025-05-27 01:43:24.358624,0.01
2025-05-28 01:43:24.358624,0.01
2025-05-29 01:43:24.358624,0.01
2025-05-30 01:43:24.358624,0.01
2025-05-31 01:43:24.358624,0.01
2025-06-01 01:43:24.358624,0.01
2025-06-02 01:43:24.358624,0.01
2025-06-03 01:43:24.358624,0.01
2025-06-04 01:43:24.358624,0.01
2025-06-05 01:43:24.358624,0.01
2025-06-06 01:43:24.358624,0.01
2025-06-07 01:43:24.358624,0.01
2025-06-08 01:43:24.358624,0.01
2025-06-09 01:43:24.358624,0.01
2025-06-10 01:43:24.358624,0.01
2025-06-11 01:43:24.358624,0.01
2025-06-12 01:43:24.358624,0.01
2025-06-13 01:43:24.358624,0.01
2025-06-14 01:43:24.358624,0.01
2025-06-15 01:43:24.358624,0.01
2025-06-16 01:43:24.358624,0.01
2025-06-17 01:43:24.358624,0.01
2025-06-18 01:43:24.358624,0.01
2025-06-19 01:43:24.358624,0.01
2025-06-20 01:43:24.358624,0.01
2025-06-21 01:43:24.358624,0.01
2025-06-22 01:43:24.358624,0.01
2025-06-23 01:43:24.358624,0.01
2025-06-24 01:43:24.358624,0.01
2025-06-25 01:43:24.358624,0.01
2025-06-26 01:43:24.358624,0.01
2025-06-27 01:43:24.358624,0.01
2025-06-28 01:43:24.358624,0.01
